Tournament Name,Tournament ID,Round Title,Round ID,Round Status,Table ID,Table Number (Order),Created At,P1 ID,P1 User ID,P1 Primary Points (TP),P1 Secondary Points (VP),P1 Tertiary Points,P1 Use Secondary List,P2 ID,P2 User ID,P2 Primary Points (TP),P2 Secondary Points (VP),P2 Tertiary Points,P2 Use Secondary List,Approved by P1,Approved by P2,Added by User ID
SMOCZA LIGA 2026 - Turniej Middle-earth SBG - Kraków - Maj - Kuźnia,0b3c1b2d-e9bd-43c8-a60f-05b40bd74969,Runda 3 - Koszyk 2 - Kill,110692c7-cd8f-4acc-9933-b56485167878,FINISHED,984f497c-0bc6-4cf1-a217-a7f6935fd4c9,0,2026-05-17T12:18:37.611Z,a6973146-a76b-45c0-84e2-99390221fe99,63c2331e-0577-4bdc-a5fa-98ec6d23cbc5,99.0,1.0,6.0,False,79426682-87f9-4fa9-af94-40e15e780275,8076af08-a8fe-455c-8c1a-2e5d7f2ad3eb,501.0,5.0,7.0,False,False,False,081b732c-68ef-4404-bf2c-b56519b96acd
SMOCZA LIGA 2026 - Turniej Middle-earth SBG - Kraków - Maj - Kuźnia,0b3c1b2d-e9bd-43c8-a60f-05b40bd74969,Runda 3 - Koszyk 2 - Kill,110692c7-cd8f-4acc-9933-b56485167878,FINISHED,387bd3e4-e11e-454a-abfd-dfa180d75072,1,2026-05-17T12:18:37.611Z,97011084-185d-47c7-be41-b21c9f61f3a5,d46af0a2-c60d-45ef-9286-540bdc4ee510,615.0,6.0,15.0,,64a935d2-8a58-4a33-9794-53607db30254,0b9e69bb-46e8-4b18-949b-c788fd37fe1e,-15.0,,1.0,,False,False,081b732c-68ef-4404-bf2c-b56519b96acd
SMOCZA LIGA 2026 - Turniej Middle-earth SBG - Kraków - Maj - Kuźnia,0b3c1b2d-e9bd-43c8-a60f-05b40bd74969,Runda 3 - Koszyk 2 - Kill,110692c7-cd8f-4acc-9933-b56485167878,FINISHED,9ff4d913-8209-4ed8-9bd9-670217fafeec,2,2026-05-17T12:18:37.611Z,f1c36224-e21a-4e4d-8b1f-4bea068e0636,1279e92f-2cd2-4ab8-855a-9630a43d2c60,620.0,6.0,20.0,,35ca96d1-3ebc-4250-9170-a7f608cf2497,6e8fd6ad-52e1-4877-84dc-2fce2d7ab7da,-20.0,0.0,0.0,,False,False,081b732c-68ef-4404-bf2c-b56519b96acd
SMOCZA LIGA 2026 - Turniej Middle-earth SBG - Kraków - Maj - Kuźnia,0b3c1b2d-e9bd-43c8-a60f-05b40bd74969,Runda 3 - Koszyk 2 - Kill,110692c7-cd8f-4acc-9933-b56485167878,FINISHED,ecf9952c-6668-4e4b-957f-be86f7afe096,3,2026-05-17T12:18:37.611Z,56278a13-fc51-4c0c-a2b2-0346e0e32a34,1e4b9bdf-6062-4736-aef3-52bc568f8803,-10.0,,4.0,,2af9f65d-aa2a-460d-b824-5389b9badfa0,7fa5ba4b-28df-44e8-a4f2-d87072e98a2b,610.0,6.0,14.0,False,False,False,081b732c-68ef-4404-bf2c-b56519b96acd
SMOCZA LIGA 2026 - Turniej Middle-earth SBG - Kraków - Maj - Kuźnia,0b3c1b2d-e9bd-43c8-a60f-05b40bd74969,Runda 3 - Koszyk 2 - Kill,110692c7-cd8f-4acc-9933-b56485167878,FINISHED,b6a947cb-84d7-417a-894c-ed5cefbd8b6b,4,2026-05-17T12:18:37.611Z,ffc6e742-793e-4ca5-8655-e76ce240536f,b6f0e023-257d-472b-af43-78e56d559cae,-20.0,0.0,0.0,True,2fe35afb-3571-4345-a484-ea76bf850250,4c85220b-667f-4d0b-b719-9c9ae145792d,620.0,6.0,20.0,,False,False,081b732c-68ef-4404-bf2c-b56519b96acd
SMOCZA LIGA 2026 - Turniej Middle-earth SBG - Kraków - Maj - Kuźnia,0b3c1b2d-e9bd-43c8-a60f-05b40bd74969,Runda 3 - Koszyk 2 - Kill,110692c7-cd8f-4acc-9933-b56485167878,FINISHED,bdd2c63b-4701-4893-bf8a-cbb62fbef376,5,2026-05-17T12:18:37.611Z,938e3cb1-e130-44c3-95af-03886bd66041,22a23162-8fd8-4dcc-833c-430aafa67491,-13.0,0.0,1.0,False,7ba966cc-4afe-4393-a9c4-4c7505d04f78,448193ff-e2b4-4650-898a-1dd8dc3fd5e1,613.0,6.0,14.0,,False,False,081b732c-68ef-4404-bf2c-b56519b96acd
SMOCZA LIGA 2026 - Turniej Middle-earth SBG - Kraków - Maj - Kuźnia,0b3c1b2d-e9bd-43c8-a60f-05b40bd74969,Runda 3 - Koszyk 2 - Kill,110692c7-cd8f-4acc-9933-b56485167878,FINISHED,859b3f5b-9adc-4401-afee-ca31325fb2cf,6,2026-05-17T12:18:37.611Z,c26d0791-881e-4da3-b533-4991a4b19876,8360df32-4800-4f51-a238-48cf1f76dd0b,-10.0,0.0,0.0,,7709600e-60cd-4acb-9200-c0f6eb22d065,2f1215b6-dd3c-44cc-9604-ee8e4b42553c,610.0,6.0,10.0,,False,False,081b732c-68ef-4404-bf2c-b56519b96acd
SMOCZA LIGA 2026 - Turniej Middle-earth SBG - Kraków - Maj - Kuźnia,0b3c1b2d-e9bd-43c8-a60f-05b40bd74969,Runda 3 - Koszyk 2 - Kill,110692c7-cd8f-4acc-9933-b56485167878,FINISHED,a8a9229f-10e4-44bc-ac3a-3c82910e2eca,7,2026-05-17T12:19:43.692Z,759eb6a2-2ee2-4ccb-aacb-2c1aa9ccc6c3,31da25d3-993d-42a7-b9b0-1df2b46ff794,-17.0,0.0,0.0,,931cec09-6986-438e-b91b-d6bf13c90d8c,83f6f224-a83f-4b8a-8284-e19085482720,617.0,6.0,17.0,,False,False,081b732c-68ef-4404-bf2c-b56519b96acd
SMOCZA LIGA 2026 - Turniej Middle-earth SBG - Kraków - Maj - Kuźnia,0b3c1b2d-e9bd-43c8-a60f-05b40bd74969,Runda 3 - Koszyk 2 - Kill,110692c7-cd8f-4acc-9933-b56485167878,FINISHED,780f47e0-cfee-41cd-bd64-49ecc63ad363,8,2026-05-17T12:19:43.692Z,b90a65ff-b42f-409a-a1a6-73225cf922fd,8cae570b-5e2b-4729-bea2-c07fe31fb4ab,200.0,2.0,10.0,,bdb6e628-b7c5-4bbf-aaf8-345faeaba375,f9ef5a6b-7fb2-4b2f-aacb-7b10bdf4e06c,200.0,2.0,10.0,,False,False,081b732c-68ef-4404-bf2c-b56519b96acd
SMOCZA LIGA 2026 - Turniej Middle-earth SBG - Kraków - Maj - Kuźnia,0b3c1b2d-e9bd-43c8-a60f-05b40bd74969,Runda 3 - Koszyk 2 - Kill,110692c7-cd8f-4acc-9933-b56485167878,FINISHED,754ccc9c-56e5-45b6-9259-10d7d73a54b7,9,2026-05-17T12:18:37.611Z,333a9642-1e4b-48d7-a9b3-500b1d69c1bc,9c29cb2b-a332-4f36-bdf5-25547137af04,-9.0,0.0,1.0,,968c2fa8-2436-4dd3-98da-7483d28c1cc8,8fc57cd9-5997-4e0f-b442-c8cd40fb2c79,609.0,6.0,10.0,,False,False,081b732c-68ef-4404-bf2c-b56519b96acd
SMOCZA LIGA 2026 - Turniej Middle-earth SBG - Kraków - Maj - Kuźnia,0b3c1b2d-e9bd-43c8-a60f-05b40bd74969,Runda 3 - Koszyk 2 - Kill,110692c7-cd8f-4acc-9933-b56485167878,FINISHED,809e8c89-1d27-4e66-ad33-86152a9cee72,10,2026-05-17T12:18:37.611Z,3f1f3b3a-883d-402a-a65b-334d9267cba7,809fc623-68b5-4bf3-933b-81f3ab3b689f,200.0,2.0,0.0,,94d4990f-5d5d-423b-abff-29e7f3626348,d0007593-ceb7-41c6-a43e-c5541e5eb1c6,200.0,2.0,0.0,,False,False,081b732c-68ef-4404-bf2c-b56519b96acd
SMOCZA LIGA 2026 - Turniej Middle-earth SBG - Kraków - Maj - Kuźnia,0b3c1b2d-e9bd-43c8-a60f-05b40bd74969,Runda 3 - Koszyk 2 - Kill,110692c7-cd8f-4acc-9933-b56485167878,FINISHED,dd719c53-01d6-412b-a847-ff0d534c40c8,11,2026-05-17T12:18:37.611Z,6f49e7e9-a425-4b91-b0b9-609b3e08d2b8,2a392470-f47d-4fff-a8b9-37d9cbbe2361,620.0,6.0,20.0,False,e86d6716-2aab-4593-bc01-433557477d30,da3d47d4-d5f6-4713-9289-615d2f90b44c,-20.0,0.0,0.0,,False,False,081b732c-68ef-4404-bf2c-b56519b96acd
SMOCZA LIGA 2026 - Turniej Middle-earth SBG - Kraków - Maj - Kuźnia,0b3c1b2d-e9bd-43c8-a60f-05b40bd74969,Runda 3 - Koszyk 2 - Kill,110692c7-cd8f-4acc-9933-b56485167878,FINISHED,a55da80a-c258-4f91-bd8f-670defc5572c,12,2026-05-17T12:18:37.611Z,04690d8a-7155-458f-9cf9-e86698931518,b746219c-415e-46e0-8143-e8cbc9ae71d0,-15.0,,0.0,,0a2378ea-7a58-4f6f-8fba-9822f65148ad,081b732c-68ef-4404-bf2c-b56519b96acd,615.0,6.0,15.0,,False,True,081b732c-68ef-4404-bf2c-b56519b96acd
SMOCZA LIGA 2026 - Turniej Middle-earth SBG - Kraków - Maj - Kuźnia,0b3c1b2d-e9bd-43c8-a60f-05b40bd74969,Runda 3 - Koszyk 2 - Kill,110692c7-cd8f-4acc-9933-b56485167878,FINISHED,9ddb9c2a-8b33-4895-aa65-2bea7ad975d3,13,2026-05-17T12:18:37.611Z,89e21f83-8e06-4253-847b-46c723a1cc6f,d8b7ff67-b46c-4463-9980-748e34a09f60,-7.0,,2.0,True,741a9128-14ab-434b-be08-1c8e327b2800,02e912fd-a2c2-4725-a3a6-e9d4fea52a31,607.0,6.0,9.0,,False,False,081b732c-68ef-4404-bf2c-b56519b96acd
SMOCZA LIGA 2026 - Turniej Middle-earth SBG - Kraków - Maj - Kuźnia,0b3c1b2d-e9bd-43c8-a60f-05b40bd74969,Runda 3 - Koszyk 2 - Kill,110692c7-cd8f-4acc-9933-b56485167878,FINISHED,35dc0117-902a-40be-8c4b-9f4f57970a81,14,2026-05-17T12:18:37.611Z,f6541af9-e953-4c88-8287-3991a74fd78f,077132db-3801-408a-88be-71f4203d83b3,501.0,5.0,4.0,,14666acd-7fe6-4275-8e3a-521103df21f9,3f55c328-9c62-4808-8c08-3aa6275710cd,99.0,1.0,3.0,False,True,False,077132db-3801-408a-88be-71f4203d83b3
SMOCZA LIGA 2026 - Turniej Middle-earth SBG - Kraków - Maj - Kuźnia,0b3c1b2d-e9bd-43c8-a60f-05b40bd74969,Runda 3 - Koszyk 2 - Kill,110692c7-cd8f-4acc-9933-b56485167878,FINISHED,acf9467f-f502-4ed8-b4d6-e3ef4a8489ce,15,2026-05-17T12:18:37.611Z,d567c793-db4c-4d7e-961c-6830c9e31c39,60bafdc5-b190-426c-b9e7-f5e0a369a294,-6.0,0.0,2.0,,e1f5998e-b282-427e-a4b1-dd2cae376b55,6d76eb6c-3cb2-419b-87ac-ac387640fbad,606.0,6.0,8.0,,False,False,081b732c-68ef-4404-bf2c-b56519b96acd
SMOCZA LIGA 2026 - Turniej Middle-earth SBG - Kraków - Maj - Kuźnia,0b3c1b2d-e9bd-43c8-a60f-05b40bd74969,Runda 3 - Koszyk 2 - Kill,110692c7-cd8f-4acc-9933-b56485167878,FINISHED,a106cbf2-ac4f-42bc-8df0-17354194fef3,16,2026-05-17T12:18:37.611Z,7cafe83e-75ae-4b4d-8e39-495a1428080f,59614550-aefe-45cd-b768-5f8310065c35,506.0,5.0,14.0,,c52c64ef-2646-49ae-8520-4473a18a2db2,24a267fb-e04e-436d-9858-d39a88afbabf,94.0,1.0,9.0,,False,False,081b732c-68ef-4404-bf2c-b56519b96acd
