Tournament Name,Tournament ID,Round Title,Round ID,Round Status,Table ID,Table Number (Order),Created At,P1 ID,P1 User ID,P1 Primary Points (TP),P1 Secondary Points (VP),P1 Tertiary Points,P1 Use Secondary List,P2 ID,P2 User ID,P2 Primary Points (TP),P2 Secondary Points (VP),P2 Tertiary Points,P2 Use Secondary List,Approved by P1,Approved by P2,Added by User ID
Władca Pierścieni Mistrzostwa Sklepu STREFA 2025 ,b5b20150-3e2f-4218-b669-f05c34d49bcd,Command the battlefield,ab79b8a0-a14c-4ce0-b3f1-870dceb2c123,FINISHED,c3d53669-7d6c-487b-9f23-0715374b2e71,0,2025-12-27T15:23:34.996Z,628aba64-3f0f-4b71-a891-211ceab7c4e2,bddd8ac9-5247-4f0a-9a17-4ac7bea1812a,8.0,9.0,0.0,True,a94fc041-2a10-4d26-9825-2475827d8fec,8cf73c83-a3a1-4dd6-8882-e8dd30912ab1,2.0,6.0,0.0,True,True,False,bddd8ac9-5247-4f0a-9a17-4ac7bea1812a
Władca Pierścieni Mistrzostwa Sklepu STREFA 2025 ,b5b20150-3e2f-4218-b669-f05c34d49bcd,Command the battlefield,ab79b8a0-a14c-4ce0-b3f1-870dceb2c123,FINISHED,7856edbb-346d-47b1-9cbe-2b6e2650265e,1,2025-12-27T15:23:34.996Z,a64a79e7-cd95-40be-ab60-0d0c7c09939d,5de541e0-dfa6-4c41-b224-90684a3b5e1c,2.0,6.0,0.0,True,d5b785c5-11c1-4c34-a9bf-3e41875fefd0,4c006884-41f1-499b-a6ad-fcd99e1a1960,8.0,8.0,0.0,,False,True,4c006884-41f1-499b-a6ad-fcd99e1a1960
Władca Pierścieni Mistrzostwa Sklepu STREFA 2025 ,b5b20150-3e2f-4218-b669-f05c34d49bcd,Command the battlefield,ab79b8a0-a14c-4ce0-b3f1-870dceb2c123,FINISHED,cccf26f3-01cd-4f6f-9c08-8230c64b7971,2,2025-12-27T15:23:34.996Z,ce8a7f9e-3f9f-42d6-8939-f5e448f3c861,2f1215b6-dd3c-44cc-9604-ee8e4b42553c,0.0,1.0,0.0,,53f80330-2ebe-4e16-a7db-b28b72baab66,0231b3c3-fb2b-4033-8dd3-bf98d9e29410,10.0,11.0,0.0,,False,True,0231b3c3-fb2b-4033-8dd3-bf98d9e29410
Władca Pierścieni Mistrzostwa Sklepu STREFA 2025 ,b5b20150-3e2f-4218-b669-f05c34d49bcd,Command the battlefield,ab79b8a0-a14c-4ce0-b3f1-870dceb2c123,FINISHED,9fb09ba8-cc0e-41a8-8e0b-b02eaf7d6e3b,3,2025-12-27T15:23:34.996Z,a1cb95d9-f662-4af9-8cdd-1e7e0d5d0939,c6e9dca0-53a4-4ee0-9259-d15d979569d9,0.0,0.0,0.0,False,1c4d768d-d46a-4e48-b7b1-4c5c95fbd670,ef46c5bc-e9ab-450b-85f5-4b88323ef1b8,10.0,15.0,0.0,True,False,True,ef46c5bc-e9ab-450b-85f5-4b88323ef1b8
Władca Pierścieni Mistrzostwa Sklepu STREFA 2025 ,b5b20150-3e2f-4218-b669-f05c34d49bcd,Command the battlefield,ab79b8a0-a14c-4ce0-b3f1-870dceb2c123,FINISHED,f7617284-6c1f-4f37-9fbf-a89316d59433,4,2025-12-27T15:23:34.996Z,41826f8c-2a61-415d-a28c-4c11446bcaba,4edd7b4a-f5e4-4136-9363-aa93d7e9b8e3,2.0,7.0,0.0,True,c7d2bc38-4c7d-4e87-a362-d74c98ebd2a6,7129c934-aacc-4988-9527-976c04e381ac,8.0,9.0,0.0,,True,False,4edd7b4a-f5e4-4136-9363-aa93d7e9b8e3
Władca Pierścieni Mistrzostwa Sklepu STREFA 2025 ,b5b20150-3e2f-4218-b669-f05c34d49bcd,Command the battlefield,ab79b8a0-a14c-4ce0-b3f1-870dceb2c123,FINISHED,7183163e-c8da-43f2-9665-396d23644913,5,2025-12-27T15:23:34.996Z,4f3cc4e9-c5dd-4d2f-90e2-275effbbae87,457f9c1a-0e9a-4c0e-ae41-7f00e3646fba,0.0,4.0,0.0,True,bbcde135-24bb-4be4-bfbe-7b66b71defe9,b802b217-7d71-4af6-bee4-c7f6e8879b94,10.0,16.0,0.0,False,True,False,457f9c1a-0e9a-4c0e-ae41-7f00e3646fba
Władca Pierścieni Mistrzostwa Sklepu STREFA 2025 ,b5b20150-3e2f-4218-b669-f05c34d49bcd,Command the battlefield,ab79b8a0-a14c-4ce0-b3f1-870dceb2c123,FINISHED,515419b9-b42b-47ce-a91a-f3d25e84b790,6,2025-12-27T15:23:34.996Z,6f1ba62d-db91-497a-a7c7-d33f10af41e7,1279e92f-2cd2-4ab8-855a-9630a43d2c60,10.0,16.0,0.0,True,f20bbc3b-d655-4c21-8c25-760c71309f8d,f9ef5a6b-7fb2-4b2f-aacb-7b10bdf4e06c,0.0,2.0,0.0,,True,False,1279e92f-2cd2-4ab8-855a-9630a43d2c60
Władca Pierścieni Mistrzostwa Sklepu STREFA 2025 ,b5b20150-3e2f-4218-b669-f05c34d49bcd,Command the battlefield,ab79b8a0-a14c-4ce0-b3f1-870dceb2c123,FINISHED,2b437808-568d-4225-af36-f94c61b3e6d9,7,2025-12-27T15:23:34.996Z,841743e9-6b98-4d9c-b7da-0554a4227718,bcef8b98-d13e-41a3-a8d0-86063d765955,0.0,0.0,0.0,True,6ea4e3b5-842a-48b5-8570-95fc93f09e04,5dd629bc-7618-4bd4-9b02-0c13fc7b7a34,10.0,12.0,0.0,False,False,True,5dd629bc-7618-4bd4-9b02-0c13fc7b7a34
Władca Pierścieni Mistrzostwa Sklepu STREFA 2025 ,b5b20150-3e2f-4218-b669-f05c34d49bcd,Command the battlefield,ab79b8a0-a14c-4ce0-b3f1-870dceb2c123,FINISHED,7c42dc57-d81f-46ca-9534-cc0764a5b3d8,8,2025-12-27T15:23:34.996Z,bc6bcb75-3ad4-4b26-815e-8983da01809f,69ac0226-f55c-4c29-9cad-1351bc715c33,0.0,3.0,0.0,,3b2cfaa4-525b-4547-b2fe-3f8a75e41bb1,76870d30-055b-4a89-a141-78ef032269f2,10.0,14.0,0.0,True,False,True,76870d30-055b-4a89-a141-78ef032269f2
Władca Pierścieni Mistrzostwa Sklepu STREFA 2025 ,b5b20150-3e2f-4218-b669-f05c34d49bcd,Command the battlefield,ab79b8a0-a14c-4ce0-b3f1-870dceb2c123,FINISHED,55e97911-d787-40b8-bff8-29526cf36211,9,2025-12-27T15:23:34.996Z,e6bd0ae9-624b-49c1-8746-069920e2214e,0ea615d7-7285-47d5-a289-2923c695743c,,,,False,bd300d6e-f056-4548-a671-510719244c7f,8cae570b-5e2b-4729-bea2-c07fe31fb4ab,10.0,20.0,,,False,False,495a97ab-7ee3-402b-8400-8d33d98cf809
Władca Pierścieni Mistrzostwa Sklepu STREFA 2025 ,b5b20150-3e2f-4218-b669-f05c34d49bcd,Command the battlefield,ab79b8a0-a14c-4ce0-b3f1-870dceb2c123,FINISHED,a54feafc-0ed4-4918-b580-b99a14e4b8c8,10,2025-12-27T15:23:34.996Z,41ea07d7-ef05-4176-85d1-2d531d127f55,08219a4e-e2d0-4904-b18d-f0320cd8d48b,8.0,9.0,0.0,True,42473b41-76ca-494c-b861-fa856f51d256,26e6a6e5-8ef2-4c08-8e4f-b89566241f24,2.0,6.0,0.0,,False,True,26e6a6e5-8ef2-4c08-8e4f-b89566241f24
Władca Pierścieni Mistrzostwa Sklepu STREFA 2025 ,b5b20150-3e2f-4218-b669-f05c34d49bcd,Command the battlefield,ab79b8a0-a14c-4ce0-b3f1-870dceb2c123,FINISHED,bab2f6ce-f587-45da-b70b-cc28842e0b0a,11,2025-12-27T15:23:34.996Z,590616f7-e415-4097-81bb-876fe9067436,6445631f-8a0d-441f-873a-398d8e99ae86,0.0,0.0,0.0,,8b2e0dcb-fed6-48f1-af39-93a778f41b44,0582940b-256d-4f95-81bc-c65be85d826d,10.0,20.0,0.0,,True,False,6445631f-8a0d-441f-873a-398d8e99ae86
Władca Pierścieni Mistrzostwa Sklepu STREFA 2025 ,b5b20150-3e2f-4218-b669-f05c34d49bcd,Command the battlefield,ab79b8a0-a14c-4ce0-b3f1-870dceb2c123,FINISHED,3267fdf5-8c20-484d-8363-929d44d2ab02,12,2025-12-27T15:23:34.996Z,9e187f1e-f16c-4c1e-9c70-fb2beca2a17d,869300c0-1611-4a41-84e8-bb7e3afa22f9,10.0,20.0,0.0,False,c8b68668-27f9-4f79-8a66-053c4814efb1,fc9de094-4eb1-4373-af38-1b5d3db6ca82,0.0,0.0,0.0,True,True,False,869300c0-1611-4a41-84e8-bb7e3afa22f9
Władca Pierścieni Mistrzostwa Sklepu STREFA 2025 ,b5b20150-3e2f-4218-b669-f05c34d49bcd,Command the battlefield,ab79b8a0-a14c-4ce0-b3f1-870dceb2c123,FINISHED,ba3e2b91-1fc7-4c0f-9774-7e57d0482b66,13,2025-12-27T15:23:34.996Z,37a19a51-c7de-424e-8d1d-47d1d3b3aa80,0d4776d9-63a3-4ffe-989f-ca6e8925fa18,10.0,14.0,0.0,,dfcdfd05-80c2-4644-aeb1-79faa60e4e49,83253c68-f02c-46cf-86c7-4e574c79154b,0.0,3.0,0.0,,False,True,83253c68-f02c-46cf-86c7-4e574c79154b
Władca Pierścieni Mistrzostwa Sklepu STREFA 2025 ,b5b20150-3e2f-4218-b669-f05c34d49bcd,Command the battlefield,ab79b8a0-a14c-4ce0-b3f1-870dceb2c123,FINISHED,9ccc5dcb-e1dd-4895-92c6-3d39e22a85f0,14,2025-12-27T15:23:34.996Z,f0760162-3453-4372-bcad-96122aeafad3,6841eef6-931a-4375-ae1b-79843a97a82e,10.0,10.0,0.0,True,fd3b703d-b8b3-4ee5-a47a-bb9df777c900,b443bdaf-6c91-40ca-a80f-57f61aefd0ac,0.0,0.0,0.0,,True,False,6841eef6-931a-4375-ae1b-79843a97a82e
Władca Pierścieni Mistrzostwa Sklepu STREFA 2025 ,b5b20150-3e2f-4218-b669-f05c34d49bcd,Command the battlefield,ab79b8a0-a14c-4ce0-b3f1-870dceb2c123,FINISHED,51f65576-9ded-4aa5-96f0-f6459d997d3b,15,2025-12-27T15:23:34.996Z,668d41a3-340f-47cf-a60a-336456e92ab5,36fdf4fc-bc11-48ba-895e-fbee306a7dbe,0.0,0.0,0.0,,20463ff4-001a-4abb-b713-29039093285b,d0cc3137-fab5-4977-bfac-cf0a791bd9b0,10.0,16.0,0.0,True,False,True,d0cc3137-fab5-4977-bfac-cf0a791bd9b0
Władca Pierścieni Mistrzostwa Sklepu STREFA 2025 ,b5b20150-3e2f-4218-b669-f05c34d49bcd,Command the battlefield,ab79b8a0-a14c-4ce0-b3f1-870dceb2c123,FINISHED,dbdc77d7-b319-4f3f-a1ff-bd75663379bc,16,2025-12-27T15:23:34.996Z,0fc68c9e-412f-44f9-ba3f-87b669011c55,8b598a8c-6653-4761-bf1e-6954cf967146,7.0,,,,,,,,,,False,False,495a97ab-7ee3-402b-8400-8d33d98cf809
